run,store_index,pages,nodes_widget_on,nodes_widget_off,delta
german,1,2,21,21,0
german,2,2,50,50,0
german,3,2,61,60,-1
german,4,2,136,136,0
german,5,2,97,110,13
german,6,2,59,59,0
german,7,2,32,32,0
english-run1,1,2,155,155,0
english-run1,2,2,168,168,0
english-run1,3,2,143,256,113
english-run1,4,2,114,117,3
english-run1,5,2,114,113,-1
english-run1,6,2,95,88,-7
english-run1,7,1,78,78,0
english-run1,8,2,92,92,0
english-run1,9,2,62,63,1
english-run1,10,2,78,81,3
english-run1,11,2,57,57,0
english-run1,12,2,0,0,0
english-run1,13,2,39,39,0
english-run1,14,2,381,375,-6
english-run1,15,2,146,146,0
english-run1,16,2,40,40,0
english-run1,17,2,40,40,0
english-run1,18,2,12,12,0
english-run2,1,2,168,168,0
english-run2,2,2,156,156,0
english-run2,3,2,115,117,2
english-run2,4,2,141,255,114
english-run2,5,2,114,114,0
english-run2,6,2,101,88,-13
english-run2,7,1,78,78,0
english-run2,8,2,92,92,0
english-run2,9,2,62,62,0
english-run2,10,2,82,82,0
english-run2,11,2,57,57,0
english-run2,12,2,0,0,0
english-run2,13,2,39,39,0
english-run2,14,2,381,375,-6
english-run2,15,2,146,146,0
english-run2,16,2,38,40,2
english-run2,17,2,40,40,0
english-run2,18,2,12,12,0
fresh-run1,1,2,16,21,5
fresh-run1,2,2,4,4,0
fresh-run1,3,2,105,105,0
fresh-run1,4,2,593,591,-2
fresh-run1,5,2,17,15,-2
fresh-run1,6,2,125,125,0
fresh-run1,7,2,25,39,14
fresh-run1,8,2,49,50,1
fresh-run1,9,2,20,20,0
fresh-run1,10,2,14,18,4
fresh-run1,11,2,28,35,7
fresh-run1,12,1,58,58,0
fresh-run1,13,2,97,100,3
fresh-run1,14,2,23,23,0
fresh-run1,15,2,34,43,9
fresh-run1,16,2,57,57,0
fresh-run1,17,2,3,3,0
fresh-run1,18,2,20,22,2
fresh-run1,19,2,14,14,0
fresh-run2,1,2,15,21,6
fresh-run2,2,2,4,4,0
fresh-run2,3,2,105,105,0
fresh-run2,4,2,592,591,-1
fresh-run2,5,2,17,15,-2
fresh-run2,6,2,125,125,0
fresh-run2,7,2,23,39,16
fresh-run2,8,2,50,49,-1
fresh-run2,9,1,2,2,0
fresh-run2,10,2,14,18,4
fresh-run2,11,2,32,35,3
fresh-run2,12,2,59,59,0
fresh-run2,13,2,23,23,0
fresh-run2,14,2,42,34,-8
fresh-run2,15,2,57,57,0
fresh-run2,16,2,3,3,0
fresh-run2,17,2,21,21,0
fresh-run2,18,2,14,14,0
accessibly-remeasured,1,2,186,186,0
accessibly-remeasured,2,2,210,210,0
accessibly-remeasured,3,2,44,44,0
accessibly-remeasured,4,2,29,29,0
accessibly-remeasured,5,1,21,21,0
accessibly-remeasured,6,2,45,48,3
accessibly-remeasured,7,2,9,9,0
accessibly-remeasured,8,2,60,60,0
accessibly-remeasured,9,2,110,104,-6
accessibly-remeasured,10,2,56,56,0
accessibly-remeasured,11,2,69,55,-14
accessibly-remeasured,12,2,69,83,14
